公司编号,职位名称,职位链接,薪资待遇,工作地点,工作经验,最低学历,招聘人数,公司规模
20547174,麦考林客户服务专员,http://sh.ganji.com/zpshichangyingxiao/1498319008x.htm,5000-8000元,徐汇-漕河泾,不限,不限,5人,500-999人
27937724,销售主管-属于你的创业园,http://sh.ganji.com/zpshichangyingxiao/1266774060x.htm,12000-20000元,松江-松江大学城,5-10年,本科,6人,20-99人
28512423,上市企业 保底5000/月,http://sh.ganji.com/zpshichangyingxiao/1324792149x.htm,5000-8000元,-共康,不限,不限,50人,10000人以上
24330662,只看能力月薪5000+包住+高提成,http://sh.ganji.com/zpshichangyingxiao/1612215011x.htm,5000-8000元,闵行-其他,不限,不限,10人,100-499人
21497882,底薪3000 做六休一,http://sh.ganji.com/zpshichangyingxiao/1832310746x.htm,8000-12000元,闵行-莘庄,不限,不限,30人,100-499人
26485738,高薪急聘古玩艺术品精英+高提成,http://sh.ganji.com/zpshichangyingxiao/1695408338x.htm,8000-12000元,长宁-虹桥,不限,高中,20人,20-99人
27016781,营销专员8000以上双休提供住宿,http://sh.ganji.com/zpshichangyingxiao/1212110611x.htm,8000-12000元,闸北,不限,高中,50人,500-999人
13681717,高薪电话销售/提供住宿/高提成,http://sh.ganji.com/zpshichangyingxiao/1483300368x.htm,5000-8000元,浦东-唐镇,不限,中专/技校,30人,10000人以上
17891735,央企高薪常日班销售代表(提供住宿),http://sh.ganji.com/zpshichangyingxiao/1150948223x.htm,5000-8000元,徐汇-植物园,不限,不限,15人,1000-9999人
29646271,大客户销售代表,http://sh.ganji.com/zpshichangyingxiao/1694184685x.htm,8000-12000元,徐汇-肇嘉浜路,1-3年,大专,10人,10000人以上
26295680,销售代表底薪+提成双休,http://sh.ganji.com/zpshichangyingxiao/1592351306x.htm,面议,浦东,不限,不限,20人,100-499人
32633845,月薪过万一包住一带薪年假,http://sh.ganji.com/zpshichangyingxiao/1806310826x.htm,5000-8000元,南汇-周浦,不限,不限,20人,1000-9999人
27225377,热门销售底薪4K+优秀的广告资源,http://sh.ganji.com/zpshichangyingxiao/1219449027x.htm,5000-8000元,宝山,不限,大专,10人,100-499人
